title,box_office,metacritic,box_office_url,metacritic_url,box_office_error,metacritic_error,fetched_at
The Devil Wears Prada 2,216222425,63,https://www.boxofficemojo.com/title/tt33612209/,https://www.metacritic.com/movie/the-devil-wears-prada-2/,,,2026-06-12T05:06:16+00:00
Hokum,16956360,76,https://www.boxofficemojo.com/title/tt35672862/,https://www.metacritic.com/movie/hokum/,,,2026-06-12T05:06:16+00:00
The Sheep Detectives,60653209,72,https://www.boxofficemojo.com/title/tt32565993/,https://www.metacritic.com/movie/the-sheep-detectives/,,,2026-06-12T05:06:16+00:00
Billie Eilish - Hit Me Hard and Soft: The Tour,9901485,73,https://www.boxofficemojo.com/title/tt39018643/,https://www.metacritic.com/movie/billie-eilish---hit-me-hard-and-soft-the-tour-live-in-3d/,,,2026-06-12T05:06:16+00:00
Mortal Kombat II,79290032,46,https://www.boxofficemojo.com/title/tt17490712/,https://www.metacritic.com/movie/mortal-kombat-ii/,,,2026-06-12T05:06:16+00:00
Is God Is,4943018,84,https://www.boxofficemojo.com/title/tt34379307/,https://www.metacritic.com/movie/is-god-is/,,,2026-06-12T05:06:16+00:00
Obsession,165439095,77,https://www.boxofficemojo.com/title/tt37287335/,https://www.metacritic.com/movie/obsession-2025/,,,2026-06-12T05:06:16+00:00
In the Grey,5723890,53,https://www.boxofficemojo.com/title/tt27681354/,https://www.metacritic.com/movie/in-the-grey/,,,2026-06-12T05:06:16+00:00
I Love Boosters,8652430,70,https://www.boxofficemojo.com/title/tt30827810/,https://www.metacritic.com/movie/i-love-boosters/,,,2026-06-12T05:06:16+00:00
Passenger,17691589,52,https://www.boxofficemojo.com/title/tt33763941/,https://www.metacritic.com/movie/passenger/,,,2026-06-12T05:06:16+00:00
Star Wars: The Mandalorian and Grogu,159471900,53,https://www.boxofficemojo.com/title/tt30825738/,https://www.metacritic.com/movie/star-wars-the-mandalorian-and-grogu/,,,2026-06-12T05:06:16+00:00
Pressure,12654145,69,https://www.boxofficemojo.com/title/tt32547691/,https://www.metacritic.com/movie/pressure/,,,2026-06-12T05:06:16+00:00
The Breadwinner,15615691,,https://www.boxofficemojo.com/title/tt34459219/,,,missing Metacritic ID,2026-06-12T05:06:16+00:00
Tuner,3427154,75,https://www.boxofficemojo.com/title/tt33296751/,https://www.metacritic.com/movie/tuner/,,,2026-06-12T05:06:16+00:00
Backrooms,143038624,77,https://www.boxofficemojo.com/title/tt26657236/,https://www.metacritic.com/movie/backrooms/,,,2026-06-12T05:06:16+00:00
Masters of the Universe,36613511,51,https://www.boxofficemojo.com/title/tt0427340/,https://www.metacritic.com/movie/masters-of-the-universe-2026/,,,2026-06-12T05:06:16+00:00
Power Ballad,2039961,,https://www.boxofficemojo.com/title/tt32267691/,,,missing Metacritic ID,2026-06-12T05:06:16+00:00
Scary Movie,67319634,38,https://www.boxofficemojo.com/title/tt32093575/,https://www.metacritic.com/movie/scary-movie-6/,,,2026-06-12T05:06:16+00:00
Disclosure Day,,75,https://www.boxofficemojo.com/title/tt15047880/,https://www.metacritic.com/movie/disclosure-day/,domestic gross not found,,2026-06-12T05:06:16+00:00
Stop! That! Train!,,66,https://www.boxofficemojo.com/title/tt38128726/,https://www.metacritic.com/movie/stop-that-train/,domestic gross not found,,2026-06-12T05:06:16+00:00
Toy Story 5,,,https://www.boxofficemojo.com/title/tt29355505/,https://www.metacritic.com/movie/toy-story-5/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
The Death of Robin Hood,,62,https://www.boxofficemojo.com/title/tt32273171/,https://www.metacritic.com/movie/the-death-of-robin-hood/,domestic gross not found,,2026-06-12T05:06:16+00:00
Girls Like Girls,,,https://www.boxofficemojo.com/title/tt32432654/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Supergirl,,,https://www.boxofficemojo.com/title/tt8814476/,https://www.metacritic.com/movie/supergirl-2026/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Jackass: Best and Last,,,https://www.boxofficemojo.com/title/tt39316472/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The Invite,,77,https://www.boxofficemojo.com/title/tt14173636/,https://www.metacritic.com/movie/the-invite/,domestic gross not found,,2026-06-12T05:06:16+00:00
Minions & Monsters,,,https://www.boxofficemojo.com/title/tt32890033/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Young Washington,,,https://www.boxofficemojo.com/title/tt32104007/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Moana,,,https://www.boxofficemojo.com/title/tt27419466/,https://www.metacritic.com/movie/moana-2026/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Gail Daughtry and the Celebrity Sex Pass,,,https://www.boxofficemojo.com/title/tt36834010/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The Odyssey,,,https://www.boxofficemojo.com/title/tt33764258/,https://www.metacritic.com/movie/the-odyssey-2026/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Cut Off,,,https://www.boxofficemojo.com/title/tt36246412/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Evil Dead Burn,,,https://www.boxofficemojo.com/title/tt31170389/,https://www.metacritic.com/movie/evil-dead-burn/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Spider-Man: Brand New Day,,,https://www.boxofficemojo.com/title/tt22084616/,https://www.metacritic.com/movie/spider-man-brand-new-day/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Fall 2,,,https://www.boxofficemojo.com/title/tt31192372/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Ice Cream Man,,,https://www.boxofficemojo.com/title/tt36893729/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
One Night Only,,,https://www.boxofficemojo.com/title/tt37853455/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Super Troopers 3,,,https://www.boxofficemojo.com/title/tt8820258/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The End of Oak Street,,,https://www.boxofficemojo.com/title/tt27165187/,https://www.metacritic.com/movie/the-end-of-oak-street/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
PAW Patrol: The Dino Movie,,,https://www.boxofficemojo.com/title/tt29356163/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The Rivals of Amziah King,,65,https://www.boxofficemojo.com/title/tt27706593/,https://www.metacritic.com/movie/the-rivals-of-amziah-king/,domestic gross not found,,2026-06-12T05:06:16+00:00
Insidious: Out of the Further,,,https://www.boxofficemojo.com/title/tt32393988/,https://www.metacritic.com/movie/insidious-out-of-the-further/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Mutiny,,,https://www.boxofficemojo.com/title/tt32338669/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Spa Weekend,,,https://www.boxofficemojo.com/title/tt33305867/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Cliffhanger,,,https://www.boxofficemojo.com/title/tt1441251/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Coyote vs. Acme,,,https://www.boxofficemojo.com/title/tt1756855/,https://www.metacritic.com/movie/coyote-vs-acme/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
The Dog Stars,,,https://www.boxofficemojo.com/title/tt21285562/,https://www.metacritic.com/movie/the-dog-stars/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Finding Emily,940822,71,https://www.boxofficemojo.com/title/tt32499466/,https://www.metacritic.com/movie/finding-emily/,,,2026-06-12T05:06:16+00:00
Idiots,,67,https://www.boxofficemojo.com/title/tt6628920/,https://www.metacritic.com/movie/idiots/,domestic gross not found,,2026-06-12T05:06:16+00:00
