title,host,box_office_pred,metacritic_pred,box_office,metacritic,box_office_diff,metacritic_diff,box_office_pts,metacritic_pts,total_pts
The Devil Wears Prada 2,sean,184000000,57,216222425,63,-32222425,-6,1,0,1
The Devil Wears Prada 2,amanda,210000000,68,216222425,63,-6222425,5,5,1,6
Hokum,sean,18000000,78,16956360,76,1043640,2,10,1,11
Hokum,amanda,10000000,62,16956360,76,-6956360,-14,5,0,5
The Sheep Detectives,sean,51000000,63,60653209,72,-9653209,-9,5,0,5
The Sheep Detectives,amanda,8000000,63,60653209,72,-52653209,-9,0,0,0
Billie Eilish - Hit Me Hard and Soft: The Tour,sean,42000000,71,9901485,73,32098515,-2,1,1,2
Billie Eilish - Hit Me Hard and Soft: The Tour,amanda,160000000,65,9901485,73,150098515,-8,0,0,0
Mortal Kombat II,sean,137000000,44,79290032,46,57709968,-2,0,1,1
Mortal Kombat II,amanda,60000000,46,79290032,46,-19290032,0,1,5,6
Is God Is,sean,12000000,74,4943018,84,7056982,-10,5,0,5
Is God Is,amanda,11000000,57,4943018,84,6056982,-27,5,0,5
Obsession,sean,42000000,69,165439095,77,-123439095,-8,0,0,0
Obsession,amanda,15000000,66,165439095,77,-150439095,-11,0,0,0
In the Grey,sean,37000000,52,5723890,53,31276110,-1,1,1,2
In the Grey,amanda,18000000,37,5723890,53,12276110,-16,1,0,1
I Love Boosters,sean,18000000,81,8652430,70,9347570,11,5,0,5
I Love Boosters,amanda,19000000,64,8652430,70,10347570,-6,1,0,1
Passenger,sean,12000000,34,17691589,52,-5691589,-18,5,0,5
Passenger,amanda,9000000,52,17691589,52,-8691589,0,5,5,10
Star Wars: The Mandalorian and Grogu,sean,275000000,52,159471900,53,115528100,-1,0,1,1
Star Wars: The Mandalorian and Grogu,amanda,421000000,48,159471900,53,261528100,-5,0,1,1
Pressure,sean,27000000,61,12654145,69,14345855,-8,1,0,1
Pressure,amanda,14000000,61,12654145,69,1345855,-8,10,0,10
The Breadwinner,sean,52000000,27,15615691,,36384309,,1,0,1
The Breadwinner,amanda,35000000,48,15615691,,19384309,,1,0,1
Tuner,sean,9000000,74,3427154,75,5572846,-1,5,1,6
Tuner,amanda,28000000,74,3427154,75,24572846,-1,1,1,2
Backrooms,sean,67000000,82,143038624,77,-76038624,5,0,1,1
Backrooms,amanda,16000000,61,143038624,77,-127038624,-16,0,0,0
Masters of the Universe,sean,88000000,55,36613511,51,51386489,4,0,1,1
Masters of the Universe,amanda,90000000,49,36613511,51,53386489,-2,0,1,1
Power Ballad,sean,26000000,71,2039961,,23960039,,1,0,1
Power Ballad,amanda,16000000,74,2039961,,13960039,,1,0,1
Scary Movie,sean,84000000,52,67319634,38,16680366,14,1,0,1
Scary Movie,amanda,52000000,54,67319634,38,-15319634,16,1,0,1
Disclosure Day,sean,121000000,74,,75,,-1,0,1,1
Disclosure Day,amanda,165000000,83,,75,,8,0,0,0
Stop! That! Train!,sean,16000000,43,,66,,-23,0,0,0
Stop! That! Train!,amanda,3000000,47,,66,,-19,0,0,0
Toy Story 5,sean,401000000,89,,,,,0,0,0
Toy Story 5,amanda,503000000,78,,,,,0,0,0
The Death of Robin Hood,sean,26000000,66,,62,,4,0,1,1
The Death of Robin Hood,amanda,12000000,64,,62,,2,0,1,1
Girls Like Girls,sean,9000000,78,,,,,0,0,0
Girls Like Girls,amanda,5000000,58,,,,,0,0,0
Supergirl,sean,159000000,50,,,,,0,0,0
Supergirl,amanda,190000000,53,,,,,0,0,0
Jackass: Best and Last,sean,81000000,64,,,,,0,0,0
Jackass: Best and Last,amanda,60000000,56,,,,,0,0,0
The Invite,sean,34000000,79,,77,,2,0,1,1
The Invite,amanda,44000000,76,,77,,-1,0,1,1
Minions & Monsters,sean,352000000,61,,,,,0,0,0
Minions & Monsters,amanda,350000000,54,,,,,0,0,0
Young Washington,sean,19000000,44,,,,,0,0,0
Young Washington,amanda,15000000,39,,,,,0,0,0
Moana,sean,412000000,39,,,,,0,0,0
Moana,amanda,410000000,53,,,,,0,0,0
Gail Daughtry and the Celebrity Sex Pass,sean,6000000,58,,,,,0,0,0
Gail Daughtry and the Celebrity Sex Pass,amanda,9000000,71,,,,,0,0,0
The Odyssey,sean,412000000,88,,,,,0,0,0
The Odyssey,amanda,350000000,83,,,,,0,0,0
Cut Off,sean,47000000,66,,,,,0,0,0
Cut Off,amanda,28000000,59,,,,,0,0,0
Evil Dead Burn,sean,67000000,64,,,,,0,0,0
Evil Dead Burn,amanda,60000000,63,,,,,0,0,0
Spider-Man: Brand New Day,sean,527000000,62,,,,,0,0,0
Spider-Man: Brand New Day,amanda,580000000,51,,,,,0,0,0
Fall 2,sean,29000000,53,,,,,0,0,0
Fall 2,amanda,7000000,41,,,,,0,0,0
Ice Cream Man,sean,17000000,36,,,,,0,0,0
Ice Cream Man,amanda,9000000,34,,,,,0,0,0
One Night Only,sean,76000000,61,,,,,0,0,0
One Night Only,amanda,38000000,52,,,,,0,0,0
Super Troopers 3,sean,48000000,52,,,,,0,0,0
Super Troopers 3,amanda,22000000,47,,,,,0,0,0
The End of Oak Street,sean,81000000,73,,,,,0,0,0
The End of Oak Street,amanda,131000000,71,,,,,0,0,0
PAW Patrol: The Dino Movie,sean,59000000,39,,,,,0,0,0
PAW Patrol: The Dino Movie,amanda,42000000,29,,,,,0,0,0
The Rivals of Amziah King,sean,6000000,84,,65,,19,0,0,0
The Rivals of Amziah King,amanda,11000000,68,,65,,3,0,1,1
Insidious: Out of the Further,sean,57000000,54,,,,,0,0,0
Insidious: Out of the Further,amanda,38000000,44,,,,,0,0,0
Mutiny,sean,38000000,58,,,,,0,0,0
Mutiny,amanda,29000000,42,,,,,0,0,0
Spa Weekend,sean,41000000,53,,,,,0,0,0
Spa Weekend,amanda,8000000,39,,,,,0,0,0
Cliffhanger,sean,27000000,54,,,,,0,0,0
Cliffhanger,amanda,14000000,33,,,,,0,0,0
Coyote vs. Acme,sean,36000000,78,,,,,0,0,0
Coyote vs. Acme,amanda,10000000,72,,,,,0,0,0
The Dog Stars,sean,61000000,70,,,,,0,0,0
The Dog Stars,amanda,85000000,53,,,,,0,0,0
Finding Emily,sean,9000000,72,940822,71,8059178,1,5,1,6
Finding Emily,amanda,4000000,61,940822,71,3059178,-10,10,0,10
Idiots,sean,8000000,69,,67,,2,0,1,1
Idiots,amanda,7000000,53,,67,,-14,0,0,0
